iter	Passed	Remaining
0	118	178203
1	223	167289
2	356	177850
3	485	181652
4	613	183342
5	739	184069
6	860	183516
7	940	175451
8	1024	169750
9	1119	166761
10	1262	170906
11	1381	171346
12	1489	170384
13	1566	166321
14	1728	171092
15	1887	175046
16	1987	173390
17	2050	168827
18	2136	166517
19	2216	164004
20	2338	164723
21	2425	162973
22	2500	160572
23	2587	159101
24	2686	158513
25	2806	159129
26	2879	157078
27	2968	156052
28	3059	155176
29	3174	155534
30	3268	154879
31	3350	153727
32	3437	152816
33	3558	153437
34	3639	152358
35	3711	150928
36	3814	150845
37	3895	149859
38	3966	148605
39	4056	148049
40	4154	147836
41	4235	147025
42	4375	148264
43	4466	147790
44	4536	146691
45	4624	146177
46	4719	145896
47	4770	144294
48	4847	143543
49	4912	142464
50	5005	142213
51	5085	141616
52	5159	140865
53	5258	140820
54	5356	140742
55	5413	139585
56	5514	139600
57	5602	139281
58	5695	139112
59	5803	139294
60	5912	139487
61	6044	140193
62	6151	140316
63	6265	140577
64	6348	140154
65	6479	140778
66	6558	140267
67	6664	140345
68	6820	141450
69	6913	141232
70	7052	141952
71	7164	142098
72	7249	141718
73	7346	141563
74	7419	140978
75	7483	140225
76	7547	139483
77	7612	138774
78	7662	137822
79	7786	138214
80	7870	137878
81	7984	138069
82	8029	137078
83	8125	136964
84	8210	136678
85	8328	136932
86	8425	136838
87	8519	136699
88	8629	136815
89	8764	137314
90	8834	136796
91	8904	136272
92	8981	135885
93	9119	136401
94	9226	136458
95	9304	136084
96	9385	135745
97	9454	135263
98	9561	135316
99	9663	135295
100	9732	134813
101	9837	134836
102	9923	134593
103	10021	134520
104	10145	134791
105	10242	134700
106	10313	134271
107	10399	134043
108	10486	133817
109	10555	133382
110	10643	133191
111	10710	132736
112	10823	132845
113	10893	132438
114	10959	131994
115	11027	131565
116	11124	131495
117	11204	131228
118	11292	131045
119	11417	131299
120	11528	131391
121	11582	130829
122	11657	130501
123	11749	130381
124	11841	130257
125	11964	130470
126	12037	130132
127	12123	129950
128	12205	129715
